"","ENST","ENSG","Symbol","Entrez"
"1","ENST00000387314","ENSG00000210049","MT-TF",NA
"2","ENST00000389680","ENSG00000211459","MT-RNR1",NA
"3","ENST00000387342","ENSG00000210077","MT-TV",NA
"4","ENST00000387347","ENSG00000210082","MT-RNR2",NA
"5","ENST00000386347","ENSG00000209082","MT-TL1",NA
"6","ENST00000361390","ENSG00000198888","MT-ND1",4535
"7","ENST00000387365","ENSG00000210100","MT-TI",NA
"8","ENST00000387372","ENSG00000210107","MT-TQ",NA
"9","ENST00000387377","ENSG00000210112","MT-TM",NA
"10","ENST00000361453","ENSG00000198763","MT-ND2",4536
"11","ENST00000387382","ENSG00000210117","MT-TW",NA
"12","ENST00000387392","ENSG00000210127","MT-TA",NA
"13","ENST00000387400","ENSG00000210135","MT-TN",NA
"14","ENST00000387405","ENSG00000210140","MT-TC",NA
"15","ENST00000387409","ENSG00000210144","MT-TY",NA
"16","ENST00000361624","ENSG00000198804","MT-CO1",4512
"17","ENST00000387416","ENSG00000210151","MT-TS1",113219467
"18","ENST00000387419","ENSG00000210154","MT-TD",NA
"19","ENST00000361739","ENSG00000198712","MT-CO2",4513
"20","ENST00000387421","ENSG00000210156","MT-TK",NA
"21","ENST00000361851","ENSG00000228253","MT-ATP8",4509
"22","ENST00000361899","ENSG00000198899","MT-ATP6",4508
"23","ENST00000362079","ENSG00000198938","MT-CO3",4514
"24","ENST00000387429","ENSG00000210164","MT-TG",NA
"25","ENST00000361227","ENSG00000198840","MT-ND3",4537
"26","ENST00000387439","ENSG00000210174","MT-TR",NA
"27","ENST00000361335","ENSG00000212907","MT-ND4L",4539
"28","ENST00000361381","ENSG00000198886","MT-ND4",4538
"29","ENST00000387441","ENSG00000210176","MT-TH",NA
"30","ENST00000387449","ENSG00000210184","MT-TS2",NA
"31","ENST00000387456","ENSG00000210191","MT-TL2",NA
"32","ENST00000361567","ENSG00000198786","MT-ND5",4540
"33","ENST00000361681","ENSG00000198695","MT-ND6",4541
"34","ENST00000387459","ENSG00000210194","MT-TE",NA
"35","ENST00000361789","ENSG00000198727","MT-CYB",4519
"36","ENST00000387460","ENSG00000210195","MT-TT",NA
"37","ENST00000387461","ENSG00000210196","MT-TP",NA
"38","ENST00000618686","ENSG00000278704","",NA
"39","ENST00000576030","ENSG00000262826","INTS3",65123
"50","ENST00000614589","ENSG00000275151","",NA
"51","ENST00000619211","ENSG00000275717","KIR3DL1",3811
"54","ENST00000611873","ENSG00000274714","KIR2DS4",3809
"55","ENST00000612571","ENSG00000276379","KIR3DL1",3811
"56","ENST00000630794","ENSG00000280538","",NA
"57","ENST00000616914","ENSG00000274324","KIR2DS4",3809
"58","ENST00000614336","ENSG00000271254","",102724250
"60","ENST00000614053","ENSG00000275047","KIR2DS5",3810
"61","ENST00000616134","ENSG00000274861","LILRP2",79166
"63","ENST00000610360","ENSG00000273755","LILRP2",79166
"65","ENST00000613442","ENSG00000277355","KIR2DL4",3805
"67","ENST00000622678","ENSG00000276970","",NA
"68","ENST00000621991","ENSG00000274807","KIR2DS4",3809
"70","ENST00000612310","ENSG00000275751","KIR3DP1",NA
"72","ENST00000616175","ENSG00000276820","KIR2DL1",3802
"73","ENST00000613676","ENSG00000277921","LILRP1",NA
"74","ENST00000614792","ENSG00000277554","KIR2DL3",3804
"75","ENST00000617830","ENSG00000274826","LILRP2",79166
"77","ENST00000611311","ENSG00000276885","KIR2DS4",3809
"78","ENST00000628655","ENSG00000281806","",NA
"81","ENST00000619672","ENSG00000275442","LILRP2",79166
"83","ENST00000625007","ENSG00000279969","",NA
"84","ENST00000614954","ENSG00000276858","FCAR",2204
"97","ENST00000613265","ENSG00000278306","KIR2DS3",3808
"98","ENST00000621120","ENSG00000274130","",NA
"99","ENST00000611233","ENSG00000277334","NCR1",9437
"105","ENST00000618297","ENSG00000278074","KIR2DL4",3805
"106","ENST00000615208","ENSG00000275511","KIR3DL2",3812
"108","ENST00000624011","ENSG00000274882","LINC02109",NA
"113","ENST00000612415","ENSG00000277272","KIR3DL1",3811
"115","ENST00000618796","ENSG00000275407","KIR2DL2",3803
"116","ENST00000630612","ENSG00000281362","",NA
"117","ENST00000618607","ENSG00000275699","KIR2DL4",3805
"121","ENST00000616520","ENSG00000273947","KIR2DL3",3804
"122","ENST00000621071","ENSG00000275786","KIR3DL1",3811
"125","ENST00000617494","ENSG00000274339","LILRP1",NA
"126","ENST00000616831","ENSG00000278731","KIR2DL2",3803
"127","ENST00000616375","ENSG00000275732","KIR2DL4",3805
"129","ENST00000620265","ENSG00000278457","",NA
"130","ENST00000613869","ENSG00000273775","KIR3DL1",3811
"132","ENST00000611369","ENSG00000277484","KIR2DL3",3804
"133","ENST00000611690","ENSG00000278294","",NA
"134","ENST00000614564","ENSG00000278805","KIR2DL1",3802
